"A 5.3 magnitude earthquake occurred 44.12mi ESE of `Ohonua, Tonga. Details: http://t.co/4GmRhAWIZ8 Map: http://t.co/vNhMUeC4Nw"
"A 5.3 magnitude earthquake occurred 32.31mi SW of Kiska Volcano, Alaska. Details: http://t.co/AeoQJwMhTO Map: http://t.co/QcFuM7am16"
"5.0 mag earthquake occurred 26.1mi ENE of Olonkinbyen, Svalbard and Jan Mayen. Details: http://t.co/b41WnH4oo5 Map: http://t.co/8y0JeoPBAE"
"A 5.8 magnitude earthquake occurred 88.23mi SSW of Kokopo, Papua New Guinea. Details: http://t.co/No4ZQxPVcy Map: http://t.co/zwINDlmBc2"
"A 5.5 magnitude earthquake occurred 13.67mi W of Ashkasham, Afghanistan. Details: http://t.co/oiuEl7fxor Map: http://t.co/mFou0HjhsS"
"A 5.5 magnitude earthquake occurred 47.85mi SSE of Acari, Peru. Details: http://t.co/gB5EQgpCsF Map: http://t.co/qJwT0v6R9J"
"A 5.1 magnitude earthquake occurred 13.67mi NNE of Niltepec, Mexico. Details: http://t.co/ewaOTdsnjF Map: http://t.co/GWUMfNhgmx"
"A 5.2 magnitude earthquake occurred 74.56mi SE of L'Esperance Rock, New Zealand. Details: http://t.co/jaWrSgcpVC Map: http://t.co/k5ptFemNG6"
"A 5.6 magnitude earthquake occurred 14.29mi N of Basugaon, India. Details: http://t.co/v74VnckKpe Map: http://t.co/UAfIDgX4mV"
"A 5.0 magnitude earthquake occurred 55.3mi S of Taron, Papua New Guinea. Details: http://t.co/uL3v4nDsZd Map: http://t.co/YwdG2MTPB1"
"A 5.2 magnitude earthquake occurred 2.49mi SE of Nuwaybi`a, Egypt. Details: http://t.co/PgmYGIBQGr Map: http://t.co/LI7hEgFI0U"
"A 5.2 magnitude earthquake occurred 50.33mi SSE of Taron, Papua New Guinea. Details: http://t.co/NZZm0d4PPA Map: http://t.co/7gIHuIDp5l"
A 5.1 magnitude earthquake occurred in Western Indian-Antarctic Ridge. Details: http://t.co/lHRTMipUBQ Map: http://t.co/wqTtgVmtse
A 5.2 magnitude earthquake occurred in Southern Mid-Atlantic Ridge. Details: http://t.co/sYAXRSIjZE Map: http://t.co/Jkb6PYaFPi
